country,year,rank,ladder_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
Albania,2024,89,5.411,1.371,1.122,0.696,0.841,0.103,0.057
Georgia,2024,91,5.4,1.444,1.275,0.482,0.844,0.0,0.172
Nepal,2024,92,5.311,0.944,1.21,0.463,0.764,0.155,0.099
Lao PDR,2024,93,5.301,1.122,1.01,0.493,0.916,0.145,0.164
Türkiye,2024,94,5.262,1.582,1.444,0.626,0.244,0.04,0.104
South Africa,2024,95,5.213,1.283,1.465,0.142,0.676,0.064,0.043
Mozambique,2024,96,5.19,0.559,1.131,0.124,0.813,0.127,0.173
Gabon,2024,97,5.12,1.386,1.224,0.387,0.651,0.042,0.086
Côte d’Ivoire,2024,98,5.102,1.038,0.76,0.206,0.661,0.1,0.162
Iran,2024,99,5.093,1.33,1.367,0.609,0.456,0.202,0.122
Congo,2024,100,5.03,1.023,0.796,0.336,0.626,0.082,0.126
Iraq,2024,101,4.976,1.261,1.275,0.589,0.503,0.1,0.069
Guinea,2024,102,4.929,0.873,0.791,0.306,0.676,0.157,0.098
Namibia,2024,103,4.911,1.182,1.482,0.104,0.564,0.052,0.056
Cameroon,2024,104,4.887,0.944,0.986,0.302,0.662,0.099,0.06
Nigeria,2024,105,4.885,0.989,1.245,0.38,0.639,0.17,0.028
Azerbaijan,2024,106,4.875,1.428,1.03,0.707,0.785,0.076,0.179
Senegal,2024,107,4.856,0.907,0.977,0.433,0.767,0.129,0.09
Pakistan,2024,109,4.768,0.982,0.759,0.417,0.529,0.136,0.046
Niger,2024,110,4.725,0.606,0.796,0.258,0.759,0.122,0.137
Ukraine,2024,111,4.68,1.328,1.472,0.472,0.689,0.245,0.023
Morocco,2024,112,4.622,1.139,0.635,0.585,0.748,0.031,0.095
Tunisia,2024,113,4.552,1.257,1.224,0.459,0.382,0.032,0.05
Mauritania,2024,114,4.542,1.023,0.919,0.516,0.454,0.113,0.195
Kenya,2024,115,4.51,0.994,1.047,0.448,0.649,0.22,0.073
Uganda,2024,116,4.461,0.762,1.342,0.396,0.751,0.148,0.05
Gambia,2024,117,4.423,0.778,0.958,0.348,0.611,0.255,0.045
India,2024,118,4.389,1.149,0.86,0.316,0.914,0.141,0.12
Chad,2024,119,4.384,0.592,0.902,0.242,0.477,0.175,0.111
Burkina Faso,2024,120,4.383,0.724,0.828,0.296,0.671,0.142,0.218
Benin,2024,121,4.357,0.855,0.228,0.357,0.679,0.092,0.238
Somalia,2024,122,4.347,0.535,0.877,0.046,0.916,0.206,0.192
Mali,2024,123,4.345,0.709,0.908,0.318,0.767,0.093,0.114
Cambodia,2024,124,4.341,1.049,1.215,0.481,0.988,0.138,0.078
Ghana,2024,125,4.34,1.053,1.01,0.438,0.771,0.139,0.025
Myanmar,2024,126,4.321,0.975,1.144,0.446,0.569,0.322,0.163
Togo,2024,127,4.315,0.757,0.736,0.378,0.576,0.097,0.153
Jordan,2024,128,4.31,1.158,1.202,0.573,0.7,0.051,0.164
Liberia,2024,129,4.277,0.582,0.888,0.324,0.653,0.143,0.068
Madagascar,2024,130,4.157,0.588,0.938,0.341,0.292,0.131,0.118
Zambia,2024,131,3.912,0.848,1.013,0.233,0.872,0.131,0.107
Ethiopia,2024,132,3.898,0.757,1.051,0.416,0.54,0.182,0.1
Sri Lanka,2024,133,3.891,1.271,1.308,0.567,0.696,0.121,0.025
Bangladesh,2024,134,3.851,1.116,0.286,0.592,0.92,0.11,0.132
Egypt,2024,135,3.817,1.347,1.075,0.473,0.593,0.018,0.103
Tanzania,2024,136,3.8,0.847,0.908,0.411,0.858,0.153,0.243
Eswatini,2024,137,3.774,1.183,1.152,0.038,0.428,0.054,0.13
Lesotho,2024,138,3.757,0.737,1.131,0.0,0.606,0.065,0.072
Comoros,2024,139,3.754,0.835,0.501,0.428,0.26,0.117,0.164
Yemen,2024,140,3.561,0.631,1.482,0.375,0.447,0.066,0.106
DR Congo,2024,141,3.469,0.544,0.929,0.278,0.6,0.151,0.061
Botswana,2024,142,3.438,1.388,1.146,0.094,0.697,0.018,0.083
Zimbabwe,2024,143,3.396,0.827,0.961,0.178,0.598,0.065,0.131
Malawi,2024,144,3.26,0.588,0.489,0.28,0.677,0.115,0.136
Lebanon,2024,145,3.188,1.223,0.984,0.44,0.279,0.071,0.041
Sierra Leone,2024,146,2.998,0.786,0.692,0.327,0.613,0.138,0.052
Afghanistan,2024,147,1.364,0.649,0.0,0.155,0.0,0.075,0.135
